Nome,imagem,CodigoRgb,NomesCor,tipo
Conjunto com 2 Cadeiras Amanda Veludo Marrom Claro e Imbuia,https://static.mobly.com.br/p/Modern-Conjunto-com-2-Cadeiras-Amanda-Veludo-Marrom-Claro-e-Imbuia-1425-9319611-1-cart.jpg,"[[102, 80, 61], [253, 253, 251], [144, 118, 96], [223, 212, 201], [174, 151, 131]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
ArmÃ¡rio AÃ©reo Frow II 2 PT FreijÃ³ e Off White 80 cm,https://static.mobly.com.br/p/Kappesberg-ArmC3A1rio-AC3A9reo-Frow-II-2-PT-FreijC3B3-e-Off-White-80-cm-9921-659147-1-cart.jpg,"[[134, 108, 75], [243, 238, 228], [254, 254, 253], [156, 142, 125], [212, 201, 186]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
Cozinha Compacta Firenze II 6 PT 2 GV AmÃªndola e Branca,https://static.mobly.com.br/p/DemC3B3bile-Cozinha-Compacta-Firenze-II-6-PT-2-GV-AmC3AAndola-e-Branca-3333-799299-1-cart.jpg,"[[125, 110, 102], [247, 247, 246], [204, 202, 199], [66, 56, 48], [170, 157, 150]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Conjunto Cozinha
Tampo de Cozinha Atena Teka 120 cm,https://static.mobly.com.br/p/Gralar-Tampo-de-Cozinha-Atena-Teka-120-cm-0475-5336111-1-cart.jpg,"[[254, 254, 254], [128, 108, 81], [173, 160, 142], [223, 214, 200], [115, 92, 60]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
BalcÃ£o de Cozinha com Tampo Botanic 2 PT 3 GV Fendi e Nogueira,https://static.mobly.com.br/p/Kappesberg-BalcC3A3o-de-Cozinha-com-Tampo-Botanic-2-PT-3-GV-Fendi-e-Nogueira-2455-3684001-1-cart.jpg,"[[253, 253, 252], [140, 119, 94], [150, 137, 122], [122, 96, 71], [203, 191, 178]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
Paneleiro Conecta 4 PT Ãbano e Branco 80 cm,https://static.mobly.com.br/p/GENIALFLEX-Paneleiro-Conecta-4-PT-C389bano-e-Branco-80-cm-9612-5729211-1-cart.jpg,"[[99, 83, 72], [166, 155, 149], [70, 55, 45], [196, 187, 183], [120, 103, 93]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Paneleiro
Cozinha Completa Madesa Reims 310001 com ArmÃ¡rio e BalcÃ£o - Preto/Rustic,https://static.mobly.com.br/p/Madesa-Cozinha-Completa-Madesa-Reims-310001-com-ArmC3A1rio-e-BalcC3A3o---Preto2FRustic-9005-172867-1-cart.jpg,"[[77, 65, 50], [177, 154, 121], [130, 112, 83], [211, 191, 160], [47, 39, 32]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Cozinha completa
ArmÃ¡rio AÃ©reo Chardonnay 3 PT Castanho e Branco,https://static.mobly.com.br/p/Ronipa-ArmC3A1rio-AC3A9reo-Chardonnay-3-PT-Castanho-e-Branco-0864-366637-1-cart.jpg,"[[242, 238, 236], [164, 149, 131], [254, 254, 253], [206, 197, 185], [155, 131, 108]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
ArmÃ¡rio AÃ©reo Iluminata 1 PT Branco 80 cm,https://static.mobly.com.br/p/GENIALFLEX-ArmC3A1rio-AC3A9reo-Iluminata-1-PT-Branco-80-cm-8226-1349401-1-cart.jpg,"[[254, 254, 254], [229, 228, 226], [142, 118, 100], [176, 155, 138], [217, 204, 191]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
BalcÃ£o de Cozinha com Tampo Confort 2 PT 4 GV Grafite e Branco,https://static.mobly.com.br/p/BATROL-BalcC3A3o-de-Cozinha-com-Tampo-Confort-2-PT-4-GV-Grafite-e-Branco-3444-860879-1-cart.jpg,"[[254, 254, 253], [135, 135, 136], [177, 177, 177], [73, 73, 74], [216, 216, 217]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
Fruteira Curitiba 1 GV Preta,https://static.mobly.com.br/p/Arte-MC3B3veis-Fruteira-Curitiba-1-GV-Preta-4681-6951301-1-cart.jpg,"[[200, 196, 191], [53, 42, 38], [254, 254, 254], [119, 108, 96], [13, 12, 10]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
BalcÃ£o de Cozinha Botanic 2 PT Nogueira e Verde Oliva,https://static.mobly.com.br/p/Kappesberg-BalcC3A3o-de-Cozinha-Botanic-2-PT-Nogueira-e-Verde-Oliva-3184-127599-1-cart.jpg,"[[108, 124, 98], [252, 252, 251], [126, 96, 67], [232, 117, 72], [217, 198, 181]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
Cozinha Compacta Malbec Prime 12 PT 2 GV Castanho e Chumbo,https://static.mobly.com.br/p/Ronipa-Cozinha-Compacta-Malbec-Prime-12-PT-2-GV-Castanho-e-Chumbo-9005-268367-1-cart.jpg,"[[108, 91, 79], [170, 162, 155], [75, 72, 70], [138, 130, 123], [65, 47, 36]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Conjunto Cozinha
BalcÃ£o de Cozinha Frow PT FreijÃ³,https://static.mobly.com.br/p/Kappesberg-BalcC3A3o-de-Cozinha-Frow-PT-FreijC3B3-1671-249147-1-cart.jpg,"[[254, 254, 253], [102, 82, 59], [188, 177, 160], [237, 234, 222], [139, 109, 76]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
ArmÃ¡rio MultiÃºso com Mesa GoiÃ¡s 2 PT Branco,https://static.mobly.com.br/p/Politorno-ArmC3A1rio-MultiC3BAso-com-Mesa-GoiC3A1s-2-PT-Branco-5775-959762-1-cart.jpg,"[[253, 253, 253], [163, 159, 148], [231, 230, 230], [112, 106, 90], [200, 199, 195]]","['Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida', 'Cor Desconhecida']",Outro
